id	name	artist	credit	type	source	tags
064.gif	Cheering	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	dragoon, light, sticks, rave, rooting
065.gif	Running	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, run, running, away, sprint
066.gif	Spraying	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, water, bottle, bad
067.gif	Take My Money			animated	official	dragoon, give, spend, merch
068.gif	Take My Money AAAAAA			animated	official	dragoon, give, spend, merch, crazy
069.png	Lick	Dokibird @Dokibird		still	official	bark, knight, tongue, barkknight
070.png	Feet	Dokibird @Dokibird		still	official	bark, knight, foot, barkknight
071.png	Ban Hammer	KiFé @kifecreations		still	official	retro, wack, bad
072.gif	Slash Right			animated	official	dad, doge, sword, attack
073.gif	Slash Left			animated	official	dad, doge, sword, attack
074.png	Sparkle Blush	Hoopyon @hoopyon		still	official	retro, smile, cheeks, happy
075.gif	xD	Hoopyon @hoopyon		animated	official	retro, smile, blush, happy
076.png	Cool	Hoopyon @hoopyon		still	official	retro, glasses, sunglasses, rad
077.gif	Dance	Arkneru @riel_9999	https://x.com/dokibird/status/1294796952014483456	animated	official	retro, cheer, yay, jam
078.gif	Sparkle Blushing	Hoopyon @hoopyon		animated	official	retro, smile, cheeks, happy
079.png	Gasp	Posu @posuegg	https://x.com/posuegg/status/1756205922177659319	still	official	retro, smirk, shock
080.gif	Padoru	Inx @InxanityOCE	https://x.com/dokibird/status/1209976368991109122	animated	official	retro, spinning, santa, christmas, twirl
081.png	Head Pat	Hoopyon @hoopyon		still	official	retro, okay, cheer up
082.gif	Head Patting	Hoopyon @hoopyon		animated	official	retro, okay, cheer up
083.png	Pose	Posu @posuegg	https://x.com/posuegg/status/1756205922177659319	still	official	retro, smile, happy, ready
084.png	Question	Hoopyon @hoopyon		still	official	retro, mark, confused, wonder
085.png	Scared	Hoopyon @hoopyon		still	official	retro, spooked, fright, dread
086.gif	Dance	Hoopyon @hoopyon		animated	official	retro, jam, wiggle, shimmy
087.png	Cry xD	Hoopyon @hoopyon		still	official	retro, tears, sad
088.png	Smug	Posu @posuegg	https://x.com/posuegg/status/1756205922177659319	still	official	retro, smirk, heh
089.png	Wow	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, sparkle, happy, excited, surprised
090.gif	Scared	Hoopyon @hoopyon		animated	official	retro, spooked, fright, dread
091.gif	Question	Hoopyon @hoopyon		animated	official	retro, mark, confused, wonder
092.png	Shy	Hoopyon @hoopyon		still	official	retro, uwu
093.png	Win	Posu @posuegg	https://x.com/posuegg/status/1756205922177659319	still	official	champion, victory, best
094.gif	Shy	Hoopyon @hoopyon		animated	official	retro, uwu
095.png	xD	Hoopyon @hoopyon		still	official	retro, smile, blush, happy
096.gif	Cool	Hoopyon @hoopyon		animated	official	retro, glasses, sunglasses, rad
097.png	Sus			still	official	bounty, hunter, I know, what you are
098.png	Mad			still	official	dragoon, why, angry
099.gif	Dragoon Gun	Maerie @maeriette	https://x.com/maeriette/status/1819055491323932977	animated	official	dragoon, gun, heart, bullet, pew, cute
100.gif	DAD Gun	Maerie @maeriette	https://x.com/maeriette/status/1819055491323932977	animated	official	dad, doge, gun, heart, bullet, pew, cute
101.gif	Finger	@tinytonybean	https://x.com/tinytonybean/status/1757748199690039415	animated	official	fuck, off, middle, finger, mad, angry
102.gif	Good Morning	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, hello, gm, window
103.gif	Okay	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, OK
104.gif	Okay Sign	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunbter, OK, sign
105.gif	Retro Good Job	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, good, job, thumbs, up
106.gif	Good Job Trophy	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, good, job, trophy, win
107.gif	Good Job	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, good, job, thumbs, up
108.gif	Good Night	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, gm, sleep, eep, comfy, tired, rest
109.gif	Heart	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, love, happy
110.gif	Heart Gun	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, shooting, aiming, love, happy
111.gif	Cheer	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, cheer, yay, rooting
112.gif	Cheer Double	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, cheer, yay, rooting
113.gif	ROFL	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, rolling, floor, laughing, lmao
114.gif	Laughing	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, laughing, lmao
115.gif	Tense	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, cheer, rooting, close
116.gif	Snack	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, chip, eating, food
117.gif	I'll Take Your Entire Stock	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	retro, credit, card, purchase, money, buying, spending
118.gif	Broke	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	bounty, hunter, money, bag, empty, lost, wind
119.gif	Partying	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	dargoon, dad, doge, dancing, jamming, guitar, song, singing
120.gif	Scared	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	dragoon, dad, doge, fright, shocked
121.gif	Confused	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	dad, doge, wondering, question, thinking
122.gif	Thank You	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	dargoon, dad, doge, thanking, happy
123.gif	Dragoon Waddle	Hoopyon @hoopyon	https://x.com/dokibird/status/1852204991479415097	animated	official	walking, steps, moving
124.png	Retro Love	Hoopyon @hoopyon		still	official	retro, heart, eyes, like
125.png	Retro Up	uguubear @uguubear	https://x.com/uguubear/status/1320547977878908928	still	official	retro, up, caveman, old, neanderthal
126.png	Gumi Barf	GUMI @vGumiho	https://x.com/dokibird/status/1308273334350536705	still	official	gumi, barf, throwup, vomit, liquid, water
127.png	Barf fall	GUMI @vGumiho	https://x.com/dokibird/status/1308273334350536705	still	official	gumi, barf, throwup, vomit, liquid, water
128.png	Doki Eat	GUMI @vGumiho	https://x.com/dokibird/status/1308273334350536705	still	official	gumi, barf, throwup, vomit, liquid, water, retro, swallow, yum, delicious
129.gif	Doki Nya	Hoopyon @hoopyon		animated	official	retro, cat, kittten, play, cute
000.png	Derp	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, dumb, oops
001.png	Dum	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, dumb, oops
002.png	Mad	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, angry, anger
003.png	Pensive	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, think, sad
004.png	Point	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, direction, this, over there
005.png	Stare	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	fan-made	retro, look, you
006.png	Cheer	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, hooray, joy
007.png	Creep	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, really, bruh
